"id","icao","iata","name","city","municipality","country_id/id","elevation","latitude","longitude","tz","lid"
"aerodrome_YTGI","YTGI","","Trangie Airport","","New South Wales","base.au","0","-31.9667","148.0","Australia/Sydney",""
"aerodrome_YTGM","YTGM","XTG","Thargomindah Airport","","Queensland","base.au","433","-27.9864","143.811","Australia/Brisbane",""
"aerodrome_YTGT","YTGT","GTS","The Granites Airport","","Northern Territory","base.au","0","-20.5483","130.347","Australia/Darwin",""
"aerodrome_YTGV","YTGV","","The Grove Airport","","New South Wales","base.au","0","-34.686","148.104","Australia/Sydney",""
"aerodrome_YTHD","YTHD","TDN","Theda Station Airport","","Western Australia","base.au","0","-14.7881","126.496","Australia/Perth",""
"aerodrome_YTHI","YTHI","","Thistle Island Airport","Thistle Island","South Australia","base.au","120","-35.0247","136.17999","Australia/Adelaide",""
"aerodrome_YTHR","YTHR","","Three Rivers Homestead Airport","","Western Australia","base.au","0","-25.1333","119.117","Australia/Perth",""
"aerodrome_YTHS","YTHS","","Three Springs Airport","","Western Australia","base.au","900","-29.52791","115.85804","Australia/Perth",""
"aerodrome_YTHV","YTHV","","Thevenard Island Airport","","Western Australia","base.au","0","-21.4667","115.0","Australia/Perth",""
"aerodrome_YTHY","YTHY","TYG","Thylungra Airport","","Queensland","base.au","165","-26.0833","143.467","Australia/Brisbane",""
"aerodrome_YTIB","YTIB","TYB","Tibooburra Airport","","New South Wales","base.au","584","-29.4511","142.058","Australia/Sydney",""
"aerodrome_YTII","YTII","","Trinidad Airport","","Queensland","base.au","0","-25.6","143.91701","Australia/Brisbane",""
"aerodrome_YTIN","YTIN","","Tintinara Airport","","South Australia","base.au","0","-35.8667","140.067","Australia/Adelaide",""
"aerodrome_YTIT","YTIT","","Ti Tree Airport","","Northern Territory","base.au","0","-22.1317","133.42","Australia/Darwin",""
"aerodrome_YTJI","YTJI","","Tjirrkarli Airport","","Western Australia","base.au","0","-26.035","125.472","Australia/Perth",""
"aerodrome_YTJU","YTJU","","Tjuntjuntjarra Airport","","Western Australia","base.au","0","-29.3583","127.128","Australia/Perth",""
