"id","code","aerodrome_id/id","length","length_uom_id/id","width","width_uom_id/id"
"runway_KSEA_16C","16C","aerodrome_KSEA","2873.04","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSEA_34C","34C","aerodrome_KSEA","2873.04","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSEA_16L","16L","aerodrome_KSEA","3627.12","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSEA_34R","34R","aerodrome_KSEA","3627.12","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSEA_16R","16R","aerodrome_KSEA","2873.04","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSEA_34L","34L","aerodrome_KSEA","2873.04","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSEE_09L","09L","aerodrome_KSEE","1628.24","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSEE_27R","27R","aerodrome_KSEE","1628.24","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSEE_09R","09R","aerodrome_KSEE","834.54","uom.product_uom_meter","18.29","uom.product_uom_meter"
"runway_KSEE_27L","27L","aerodrome_KSEE","834.54","uom.product_uom_meter","18.29","uom.product_uom_meter"
"runway_KSEE_17","17","aerodrome_KSEE","1263.4","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSEE_35","35","aerodrome_KSEE","1263.4","uom.product_uom_meter","30.48","uom.product_uom_meter"
"runway_KSEF_14","14","aerodrome_KSEF","1581.91","uom.product_uom_meter","91.44","uom.product_uom_meter"
"runway_KSEF_32","32","aerodrome_KSEF","1581.91","uom.product_uom_meter","91.44","uom.product_uom_meter"
"runway_KSEF_18","18","aerodrome_KSEF","1581.91","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSEF_36","36","aerodrome_KSEF","1581.91","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSEG_17","17","aerodrome_KSEG","1450.85","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSEG_35","35","aerodrome_KSEG","1450.85","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSEM_15","15","aerodrome_KSEM","2439.01","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSEM_33","33","aerodrome_KSEM","2439.01","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSEP_14","14","aerodrome_KSEP","1280.16","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSEP_32","32","aerodrome_KSEP","1280.16","uom.product_uom_meter","22.86","uom.product_uom_meter"
"runway_KSEQ_13","13","aerodrome_KSEQ","2545.08","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSEQ_31","31","aerodrome_KSEQ","2545.08","uom.product_uom_meter","45.72","uom.product_uom_meter"
"runway_KSER_05","05","aerodrome_KSER","1676.4","uom.product_uom_meter","30.48","uom.product_uom_meter"
